                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20211220"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                     M_BH                                     L_BH                                      R_B                                    M_dot                                    dm/dt 
                                       2                                      706                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  1.0126468521752158E-004                  9.9999999902962555E-001                  2.9704649263856088E-003                  6.7627771232397832E-005                  7.8129939225350590E-008                  9.9999999902962555E-001                  2.9704649263856088E-003                  6.7627771232397832E-005                  7.8129939225350590E-008                 -4.4478518551889819E+000                 -8.5809463658812717E+001                 -9.8999999999999986E+001                 -4.4478518551889819E+000                 -4.4478518551897208E+000                 -1.6216754116008001E+001                 -8.5809463658812717E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190370487E+000                  1.3547907944133661E-001                  2.9935106251106769E-001                  3.8393655022809976E+000                 -1.2934826495009566E-007                  1.4760000298122357E+001                  4.3072228544942845E-002                  6.5892885877932796E+000                  6.1669406769454826E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466760E-003                  8.5694137348165649E-003                  7.0929765985814019E-001                  2.7235424288790028E-001                                        0                                        6                  1.0000000000000000E-010                  1.1283204043116757E-005                  8.7182021104595313E-007                  2.4168919597642582E-025                  0.0000000000000000E+000 
                                       3                                      706                  2.9200000000000002E-005                 -5.1426675035687310E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0347914963553451E-003                  1.7204033513543310E-005                  3.7980564799755859E-007                  9.9999999902962555E-001                  3.0347914963553451E-003                  1.7204033513543310E-005                  3.7980564799755859E-007                 -4.4478360531534094E+000                 -8.5809463658772856E+001                 -9.8999999999999986E+001                 -4.4478360531534094E+000                 -4.4478360531541883E+000                 -1.6194311271619490E+001                 -8.5809463658772856E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190404487E+000                  1.3547907945401697E-001                  2.9935106251060795E-001                  3.8393655022819173E+000                 -9.7626277017384507E-010                  1.4760000298122693E+001                  4.3072228782408947E-002                  6.5892885875597882E+000                  6.1669406769470680E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466786E-003                  8.5694137348165719E-003                  7.0929765985814075E-001                  2.7235424288790039E-001                                        1                                        3                  1.0000000000008237E-010                  1.1283204037964349E-005                  8.7182021089415117E-007                  2.4168909460393796E-025                  8.2372979936230908E-023 
                                       4                                      706                  3.6400000000000004E-005                 -5.1426675035687310E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0349302240471943E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0349302240471943E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4478202586960345E+000                 -8.5809463658730110E+001                 -9.8999999999999986E+001                 -4.4478202586960345E+000                 -4.4478202586968445E+000                 -1.6177334502439390E+001                 -8.5809463658730110E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190456050E+000                  1.3547907947384996E-001                  2.9935106251021143E-001                  3.8393655022827105E+000                 -8.4194473802466427E-010                  1.4760000298124893E+001                  4.3072228525548928E-002                  6.5892885878148801E+000                  6.1669406769453361E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165736E-003                  7.0929765985814086E-001                  2.7235424288790044E-001                                        1                                        3                  1.0000000000013180E-010                  1.1283204037703539E-005                  8.7182021088038837E-007                  2.4168909449357203E-025                  4.9423787939169474E-023 
                                       5                                      706                  4.5040000000000002E-005                 -5.0634862575211059E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0356489334944304E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0356489334944304E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4478013161834138E+000                 -8.5809463658677856E+001                 -9.8999999999999986E+001                 -4.4478013161834138E+000                 -4.4478013161842522E+000                 -1.6162412693882125E+001                 -8.5809463658677856E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190500992E+000                  1.3547907949095619E-001                  2.9935106250977783E-001                  3.8393655022835773E+000                 -7.6714160629752566E-010                  1.4760000298127544E+001                  4.3072228266871591E-002                  6.5892885880722067E+000                  6.1669406769435964E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929765985814086E-001                  2.7235424288790039E-001                                        1                                        2                  1.0000000000018122E-010                  1.1283204037312508E-005                  8.7182021085928147E-007                  2.4168909448798541E-025                  4.9423787938027046E-023 
                                       6                                      706                  5.5408000000000009E-005                 -4.9843050114734817E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0351149358180808E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0351149358180808E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4477786007579931E+000                 -8.5809463658608891E+001                 -9.8999999999999986E+001                 -4.4477786007579931E+000                 -4.4477786007588556E+000                 -1.6149834599465663E+001                 -8.5809463658608891E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190521868E+000                  1.3547907949786664E-001                  2.9935106250905735E-001                  3.8393655022850184E+000                 -1.0624410739578139E-009                  1.4760000298130935E+001                  4.3072228006121378E-002                  6.5892885883323018E+000                  6.1669406769418322E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165736E-003                  7.0929765985814075E-001                  2.7235424288790039E-001                                        1                                        4                  1.0000000000024055E-010                  1.1283204036973647E-005                  8.7182021084109652E-007                  2.4168909447960941E-025                  5.9308545523577050E-023 
                                       7                                      706                  6.7849600000000008E-005                 -4.9051237654258566E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0359638624351693E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0359638624351693E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4477513646769538E+000                 -8.5809463658529225E+001                 -1.9867979713822756E+001                 -4.4477513646769538E+000                 -4.4477513646778366E+000                 -1.6139728901629319E+001                 -8.5809463658529225E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190543984E+000                  1.3547907950465421E-001                  2.9935106250802812E-001                  3.8393655022870767E+000                 -1.2645399648901928E-009                  1.4760000298134866E+001                  4.3072227742691857E-002                  6.5892885885955703E+000                  6.1669406769400492E-001                  8.5464440106736461E-001                  1.2845014863067969E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466786E-003                  8.5694137348165719E-003                  7.0929765985814086E-001                  2.7235424288790039E-001                                        1                                        3                  1.0000000000031170E-010                  1.1283204036809191E-005                  8.7182021083307660E-007                  2.4168909447235092E-025                  7.1170254626155042E-023 
                                       8                                      706                  8.2779520000000011E-005                 -4.8259425193782315E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0346305361823160E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.0346305361823160E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4477187136368057E+000                 -8.5809463658428427E+001                 -1.9691888454767074E+001                 -4.4477187136368057E+000                 -4.4477187136377037E+000                 -1.6132044441500781E+001                 -8.5809463658428427E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208190571486E+000                  1.3547907951302748E-001                  2.9935106250671362E-001                  3.8393655022897057E+000                 -1.3460620315794505E-009                  1.4760000298139749E+001                  4.3072227476213143E-002                  6.5892885888627832E+000                  6.1669406769382407E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466786E-003                  8.5694137348165736E-003                  7.0929765985814086E-001                  2.7235424288790039E-001                                        1                                        2                  1.0000000000039710E-010                  1.1283204036629504E-005                  8.7182021082467223E-007                  2.4168909446882825E-025                  8.5404305550141256E-023 
                                       9                                      706                  1.0069542400000001E-004                 -4.7467612733306073E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  4.3906413801795254E-007                  9.9999999902962555E-001                  3.0995280241708930E-003                  3.1251999296608080E-007                  7.8129934492684136E-008                  9.9999999902962555E-001                  3.0995280241708930E-003                  3.1251999296608080E-007                  7.8129934492684136E-008                 -4.4477777460303871E+000                 -8.5809456470251192E+001                 -9.8999999999999986E+001                 -4.4477777460303871E+000                 -4.4477777460312975E+000                 -1.6126555462817443E+001                 -8.5809456470251192E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208109306385E+000                  1.3547887230067629E-001                  2.9935097515355907E-001                  3.8393656769960147E+000                 -9.3871484848030900E-010                  1.4760000642967528E+001                  4.3072041753120148E-002                  6.5892891124166582E+000                  6.1669406735115728E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929765985814075E-001                  2.7235424288790039E-001                                        1                                        5                  1.0000000000049958E-010                  1.1283204036406603E-005                  8.7182021081425108E-007                  2.4168909446497937E-025                  1.0248516665853742E-022 
                                      10                                      706                  1.2219450879999999E-004                 -4.6675800272829822E+000                  1.0000000000000000E+000                  3.3298505910273811E+001                 -9.8999999999999986E+001                  6.2498170535215370E-007                  9.9999999902962555E-001                  3.1017007845769635E-003                  3.1251999274271557E-007                  7.8129934269318848E-008                  9.9999999902962555E-001                  3.1017007845769635E-003                  3.1251999274271557E-007                  7.8129934269318848E-008                 -4.4477726923690790E+000                 -8.5809449282012579E+001                 -9.8999999999999986E+001                 -4.4477726923690799E+000                 -4.4477726923699974E+000                 -1.6122905847818089E+001                 -8.5809449282012579E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208047852921E+000                  1.3547867310574205E-001                  2.9935088784678476E-001                  3.8393658516095637E+000                 -9.8303921645027247E-010                  1.4760000987817758E+001                  4.3072121659494776E-002                  6.5892893744416341E+000                  6.1669406718580910E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466795E-003                  8.5694137348165719E-003                  3.1193270821466786E-003                  8.5694137348165719E-003                  7.0929765985814086E-001                  2.7235424288790039E-001                                        1                                        2                  1.0000000000062257E-010                  1.1283202785951595E-005                  8.7182025734452288E-007                  2.4168909446020471E-025                  1.2298219998781535E-022 
